Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
June 2023,146633728.0,141940928.0,35636601.0,304.1,35467777.4,106973322.6,111148328.2,94.84,94.83966666666667,0.9649285674095154,2.5793282985687256,2.4679903984069824,3.5999257564544678
July 2023,143965172.0,145056494.0,30815530.0,227.6,30916093.4,114598155.5,113024866.4,77.48,77.48258064516129,0.9504286050796509,2.2549386024475098,2.0499441623687744,3.391725778579712
August 2023,140875701.0,145204478.0,26149234.0,185.5,26224215.9,119247191.9,114672448.7,94.41,94.41387096774191,0.36677059531211853,1.8338528871536255,1.485420823097229,2.6407482624053955
September 2023,138706886.0,143231190.0,26359321.0,246.6,26678695.2,116761102.8,111980795.9,100.73,100.72633333333332,0.5196733474731445,1.6332590579986572,1.3548626899719238,2.505568027496338
October 2023,150243164.0,155188281.0,13375837.0,100.0,13517488.1,141573343.20000002,136617644.20000002,87.32,87.31645161290322,0.4788932204246521,1.738205075263977,1.8091521263122559,4.966300010681152
November 2023,157514809.0,164363096.0,5609602.0,38.8,5826805.1,158690747.7,151722757.0,91.18,91.17966666666666,0.26840490102767944,1.2078220844268799,1.2078220844268799,5.003834247589111
December 2023,161298004.0,163997120.0,3160724.0,29.1,3201361.6,160614541.8,158052740.4,68.38,68.37483870967742,0.3239946663379669,1.6771488189697266,1.524680733680725,4.478749752044678
January 2024,169580450.0,176381993.0,5870393.0,69.7,5980336.0,170564150.4,163648563.4,76.63,76.63548387096773,0.47003525495529175,1.6451233625411987,1.7038778066635132,4.77869176864624
February 2024,157747389.0,159827644.0,9052347.0,51.2,9053322.0,150760680.8,148679901.1,61.36,61.35655172413793,0.6329113841056824,1.898734211921692,1.7998417615890503,4.33148717880249
March 2024,159348281.0,160770407.0,19604796.0,120.3,19294695.1,141247788.5,140165125.4,64.66,64.66419354838709,0.5476451516151428,1.533406376838684,1.533406376838684,3.8882803916931152
April 2024,150003318.0,144732688.0,26607734.0,151.6,25037550.4,118148174.8,124975201.2,62.39,62.393,0.7218104004859924,1.833788514137268,1.7752633094787598,4.467421054840088
May 2024,149199298.0,140954515.0,34256739.0,215.3,33432168.3,106714585.9,115784477.9,67.28,67.28451612903227,0.6457740068435669,1.9943020343780518,1.7663817405700684,4.273504257202148
June 2024,146887657.0,144702774.0,35142963.0,210.1,36245213.4,109557528.1,110635838.0,72.89,72.89,0.3063960075378418,1.4362313747406006,1.2638835906982422,3.4852547645568848
July 2024,151822977.0,150906256.0,37850255.0,236.5,38667708.1,113097921.8,113163991.9,67.71,67.71032258064515,0.35211268067359924,0.8411580324172974,0.7433489561080933,2.816901445388794
